,Date,Load,System Generation
820,2017-06-25,162351.8673714,161446.274744
821,2017-06-26,172332.1842133,172934.6306142
822,2017-06-27,168038.5606386,167417.9158934
823,2017-06-28,167766.4263322,167595.75951
824,2017-06-29,169544.8352504,170731.7526673
825,2017-06-30,170517.3153038,172415.0430494
826,2017-07-01,160181.5420686,162042.91618559998
827,2017-07-02,162958.314052,165285.7753581
828,2017-07-03,167095.72748,171004.5092233
829,2017-07-04,172444.3511612,174816.5235478
830,2017-07-05,176560.5899044,182934.6576457
831,2017-07-06,179307.499311,187662.4107873
832,2017-07-07,179152.2117659,184608.6738306
833,2017-07-08,171323.5424627,180441.9260944
834,2017-07-09,171340.4097187,177326.0753702
835,2017-07-10,172159.1169155,175118.9419216
836,2017-07-11,165002.0599886,167431.415299
837,2017-07-12,165710.197008,168800.0947858
838,2017-07-13,173440.25458849999,175292.1670053
839,2017-07-14,174675.5377132,177805.2592699
840,2017-07-15,169791.0131094,173223.7949533
841,2017-07-16,159990.835269,162937.048065
842,2017-07-17,166090.8352507,171315.6161686
843,2017-07-18,166622.2190415,171447.0883431
844,2017-07-19,170254.5812035,175076.44464
845,2017-07-20,175185.9626251,179518.91057870002
846,2017-07-21,168689.4163961,175706.46931380001
847,2017-07-22,163835.9564148,178283.1673815
848,2017-07-23,162808.6311803,181265.8046732
849,2017-07-24,165586.1276288,182338.5450714
850,2017-07-25,169909.2037039,177425.1589662
851,2017-07-26,175806.6738512,173350.7451152
